0,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,5.6453,5.7636,5.8352,6.0969,6.2251,5.9868,6.0231,5.7811,5.8904,5.5394
5,5.7952,5.922,5.9983,6.316,6.4768,6.1728,6.2194,5.9406,6.0558,5.6903
17,6.3826,6.511,6.5777,6.8877,7.0434,6.7474,6.7955,6.5272,6.6373,6.264
50,7.7193,7.9798,8.0928,8.5027,8.7152,8.3223,8.3787,8.0104,8.176,7.5939
83,9.775,10.139,10.254,10.754,11.037,10.523,10.605,10.164,10.345,9.6367
95,11.179,11.632,11.772,12.234,12.515,12,12.093,11.671,11.855,11.151
99,15.18,16.722,17.995,18.705,18.948,18.916,18.381,17.033,17.681,16.455
