0,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,4.3096,4.4222,4.5008,4.7877,4.9312,4.6624,4.696,4.4499,4.5511,4.1999
5,4.8077,4.9636,5.063,5.3923,5.5675,5.2543,5.2923,4.9935,5.1255,4.7026
17,5.5941,5.7468,5.8481,6.2406,6.429,6.0686,6.1211,5.7799,5.9193,5.4501
50,7.3092,7.4979,7.6325,8.1444,8.4058,7.9333,7.9928,7.5418,7.7329,7.1187
83,9.5916,9.9265,10.099,10.741,11.092,10.478,10.549,9.9835,10.224,9.4311
95,11.034,11.623,11.831,12.563,12.893,12.234,12.32,11.686,11.963,11.037
99,14.309,15.823,16.123,17.167,17.679,16.742,16.827,15.912,16.309,15.042
